,plot,New_Source,New_Pedigree,Old_Pedigree,Old_Source,Shared,New_Family,Tester,Pass,Range,Group.1,canopy_cover
1,MIH119_1001,WIPV17/30131,Mo44_PHW65_0324/PHT69,Mo44_PHW65_0324/PHT69,WIPV17/30131,1,Mo44_PHW65,PHT69,3,2,1001,0.902602917
2,MIH119_1002,WIPV17/30636,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0080/PHT69,WIPV17/30634,NA,Mo44_PHW65,PHT69,4,2,1002,0.882421667
3,MIH119_1003,WIPV17/30728,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0316/PHT69,WIPV17/30726,NA,Mo44_PHW65,PHT69,5,2,1003,0.836821875
4,MIH119_1004,WIPV18/30467,Mo44_PHW65_0139/PHT69,Mo44_PHW65_0139/PHT69,WIPV17/30657,1,Mo44_PHW65,PHT69,6,2,1004,0.850700833
5,MIH119_1005,WIPV18/30665,Mo44_PHW65_0307/PHT69,Mo44_PHW65_0307/PHT69,WIPV17/30724,1,Mo44_PHW65,PHT69,7,2,1005,0.919698194
6,MIH119_1006,NA,CGR01/CG44,PHW52/PHN82,NA,NA,NA,NA,8,2,1006,0.944706528
7,MIH119_1007,WIPV17/30734,Mo44_PHW65_0336/PHT69,Mo44_PHW65_0336/PHT69,WIPV17/30734,1,Mo44_PHW65,PHT69,9,2,1007,0.936216667
8,MIH119_1008,NA,F42/OH43,F42/OH43,NA,NA,NA,NA,10,2,1008,0.926675833
9,MIH119_1009,WIPV18/30458,Mo44_PHW65_0168/PHT69,Mo44_PHW65_0168/PHT69,WIPV17/30674,1,Mo44_PHW65,PHT69,11,2,1009,0.906989792
10,MIH119_1010,WIPV17/30015,Mo44_PHW65_0031/PHT69,Mo44_PHW65_0031/PHT69,WIPV17/30015,1,Mo44_PHW65,PHT69,12,2,1010,0.926563333
11,MIH119_1011,WIPV18/30453,Mo44_PHW65_0207/PHT69,Mo44_PHW65_0207/PHT69,WIPV17/30693,1,Mo44_PHW65,PHT69,13,2,1011,0.912554167
12,MIH119_1012,WIPV18/30411,PHW65_MoG_0569/PHT69,Mo44_PHW65_0471/PHT69,WIPV17/30755,NA,PHW65_MoG,PHT69,14,2,1012,0.906163611
13,MIH119_1013,WIPV18/30650,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0134/PHT69,WIPV17/30654,1,Mo44_PHW65,PHT69,15,2,1013,0.88652375
14,MIH119_1014,WIPV17/30033,Mo44_PHW65_0074/PHT69,Mo44_PHW65_0068/PHT69,WIPV17/30030,NA,Mo44_PHW65,PHT69,16,2,1014,0.872052778
15,MIH119_1015,NA,Mo44/PHT69,Mo44/PHT69,NA,NA,NA,PHT69,17,2,1015,0.936032639
16,MIH119_1016,WIPV17/30645,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0103/PHT69,WIPV17/30642,NA,Mo44_PHW65,PHT69,18,2,1016,0.892692708
17,MIH119_1017,WIPV17/30728,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0236/PHT69,WIPV17/30703,NA,Mo44_PHW65,PHT69,19,2,1017,0.854270833
18,MIH119_1018,WIPV18/30415,Mo44_PHW65_0435/PHT69,Mo44_PHW65_0435/PHT69,WIPV17/30750,1,Mo44_PHW65,PHT69,20,2,1018,0.929261667
19,MIH119_1019,WIPV18/30516,Mo44_PHW65_0333/PHT69,Mo44_PHW65_0333/PHT69,WIPV17/30733,1,Mo44_PHW65,PHT69,21,2,1019,0.900246667
20,MIH119_1020,WIPV17/30728,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0281/PHT69,WIPV17/30720,NA,Mo44_PHW65,PHT69,22,2,1020,0.911445167
21,MIH119_1021,WIPV18/30522,Mo44_PHW65_0067/PHT69,Mo44_PHW65_0067/PHT69,WIPV17/30629,1,Mo44_PHW65,PHT69,23,2,1021,0.911110556
22,MIH119_1022,WIPV17/30728,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0317/PHT69,WIPV17/30727,NA,Mo44_PHW65,PHT69,24,2,1022,0.759438542
23,MIH119_1023,WIPV18/30451,Mo44_PHW65_0220/PHT69,Mo44_PHW65_0220/PHT69,WIPV17/30698,1,Mo44_PHW65,PHT69,25,2,1023,0.903014861
24,MIH119_1024,NA,B37/H95,B73/PHN82,NA,NA,NA,NA,26,2,1024,0.82081
25,MIH119_1025,WIPV18/30423,Mo44_PHW65_0217/PHT69,Mo44_PHW65_0217/PHT69,WIPV17/30696,1,Mo44_PHW65,PHT69,27,2,1025,0.922467
26,MIH119_1026,WIPV17/30616,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0033/PHT69,WIPV17/30616,1,Mo44_PHW65,PHT69,28,2,1026,0.920825833
27,MIH119_1027,WIPV17/30673,Mo44_PHW65_0167/PHT69,Mo44_PHW65_0174/PHT69,WIPV17/30676,NA,Mo44_PHW65,PHT69,29,2,1027,0.927579028
28,MIH119_1028,NA,B37/H95,B14A/H95,NA,NA,NA,NA,30,2,1028,0.809599375
29,MIH119_1029,WIPV17/30653,Mo44_PHW65_0128/PHT69,Mo44_PHW65_0135/PHT69,WIPV17/30655,NA,Mo44_PHW65,PHT69,30,3,1029,0.861256333
