plot,New_Source,New_Pedigree,Old_Pedigree,Old_Source,Shared,New_Family,Tester,Pass,Range,Group.1,Rep,Date.Time,Harvest.Sequence,Stand.Count,GreenSnap,Stand.Count_2019GXE&Old&New&PedigreeUpdated,GreenSnap_2019GXE&Old&New&PedigreeUpdated,canopy_cover,Weight,Moisture,Test.Weight,yield_originaal_moisture,yield_dry,yield_standard,yield_standard_bu,yield_dry_gm,dry_matter/plant(kg),Ear_Leaf_Length (cm),Ear_Leaf_Width (cm),Ear_Leaf_Area (cm^2),Ear_Height (cm),Plant_Height (cm),Ear_Leaf_N,Total_Leaf_N,AnthesisGDD,SilkingGDD,TLA (m2),epd,ear_leaf_weight (g),Root Lodging,Stalk Lodging,LAI,BLUE_2019702dronemean,BLUE_STD_2019702dronemean,GREEN_2019702dronemean,GREEN_STD_2019702dronemean,NDVI_2019702dronemean,NDVI_STD_2019702dronemean,NIR_2019702dronemean,NIR_STD_2019702dronemean,RED_2019702dronemean,RED_STD_2019702dronemean,RED_EDGE_2019702dronemean,RED_EDGE_STD_2019702dronemean,BLUE_2019715dronemean,BLUE_STD_2019715dronemean,GREEN_2019715dronemean,GREEN_STD_2019715dronemean,NDVI_2019715dronemean,NDVI_STD_2019715dronemean,NIR_2019715dronemean,NIR_STD_2019715dronemean,RED_2019715dronemean,RED_STD_2019715dronemean,RED_EDGE_2019715dronemean,RED_EDGE_STD_2019715dronemean,BLUE_2019728dronemean,BLUE_STD_2019728dronemean,GREEN_2019728dronemean,GREEN_STD_2019728dronemean,NDVI_2019728dronemean,NDVI_STD_2019728dronemean,NIR_2019728dronemean,NIR_STD_2019728dronemean,RED_2019728dronemean,RED_STD_2019728dronemean,RED_EDGE_2019728dronemean,RED_EDGE_STD_2019728dronemean,BLUE_2019812dronemean,BLUE_STD_2019812dronemean,GREEN_2019812dronemean,GREEN_STD_2019812dronemean,NDVI_2019812dronemean,NDVI_STD_2019812dronemean,NIR_2019812dronemean,NIR_STD_2019812dronemean,RED_2019812dronemean,RED_STD_2019812dronemean,RED_EDGE_2019812dronemean,RED_EDGE_STD_2019812dronemean,BLUE_2019902dronemean,BLUE_STD_2019902dronemean,GREEN_2019902dronemean,GREEN_STD_2019902dronemean,NDVI_2019902dronemean,NDVI_STD_2019902dronemean,NIR_2019902dronemean,NIR_STD_2019902dronemean,RED_2019902dronemean,RED_STD_2019902dronemean,RED_EDGE_2019902dronemean,RED_EDGE_STD_2019902dronemean,BLUE_2019912dronemean,BLUE_STD_2019912dronemean,GREEN_2019912dronemean,GREEN_STD_2019912dronemean,NDVI_2019912dronemean,NDVI_STD_2019912dronemean,NIR_2019912dronemean,NIR_STD_2019912dronemean,RED_2019912dronemean,RED_STD_2019912dronemean,RED_EDGE_2019912dronemean,RED_EDGE_STD_2019912dronemean,2019-07-02 00:00:00,2019-07-15 00:00:00,2019-07-28 00:00:00,2019-08-12 00:00:00,2019-09-02 00:00:00,2019-09-11 00:00:00
MIH119_1001,WIPV17/30131,Mo44_PHW65_0324/PHT69,Mo44_PHW65_0324/PHT69,WIPV17/30131,1.0,Mo44_PHW65,PHT69,3,2,1001,1,43786.44236111111,31,84.0,0.0,84,0,0.9026029170000001,22.01,24.0,53.8,8715.96,6624.1296,7839.20662721893,145.7101603572292,627.245289819036,0.4390995000000001,84.5,9.75,617.90625,113.5,199.0,12.5,17.5,1192.25,1247.6,0.507814021125798,69.0903225806452,7.0,0,22,4.174085718788793,0.047348001784513497,0.011886529683319248,0.09522157076337028,0.014605980681289701,0.6473972308482662,0.09561474025037049,0.3857090793943269,0.03696933751825874,0.08316049014833277,0.02646315014033152,0.18871773798523547,0.0209234712482728,0.02841151910949903,0.007241590480673785,0.0728872012804216,0.014605349482555043,0.8563783646337857,0.03881608123748215,0.4884728667119779,0.06880682987613974,0.037120184785796,0.00868273096123753,0.14721894214705172,0.02409144843513593,0.020668107136454558,0.008713171495687401,0.05367211090918243,0.01895124156315269,0.9078021937905113,0.024995585736494137,0.5017744382201803,0.07209187253421447,0.02471476598368534,0.009286794102101108,0.1180272812062069,0.0316334994577606,0.026704702676080525,0.00781826980851404,0.06614908240380923,0.019712628255557915,0.8431344245128469,0.024508086695164008,0.48291224067211763,0.07626149557605459,0.04142584721767446,0.010530382124105037,0.13953441168594427,0.035425253792065306,0.03233006128900842,0.012501805154200183,0.08442246560499238,0.03127738634008434,0.8034162066173008,0.04335935159407799,0.45609954724089835,0.09826351348498048,0.047813033576770615,0.019703157340710403,0.17229956671039773,0.05540465444105432,0.04132003148279569,0.012114594079128,0.1004474482466863,0.028413810329679035,0.7459736952875206,0.04194692862571112,0.4433307658306303,0.07818262018338691,0.06522558088491155,0.018326825834410684,0.18858035487875818,0.04388335994220153,55.75129055988688,83.41824895985977,83.64224805601572,82.15027494686701,84.4364873004792,83.80920701577199
MIH119_1002,WIPV17/30636,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0080/PHT69,WIPV17/30634,,Mo44_PHW65,PHT69,4,2,1002,1,43786.447222222225,35,82.0,0.0,82,0,0.882421667,17.2,23.6,56.2,6811.2,5203.7568,6158.29207100592,109.5781507296427,492.748804637484,0.35335931707317075,88.1,9.600000000000001,634.32,120.0,214.0,12.5,17.5,1247.6,1270.2,0.521303336680146,85.5901639344262,6.5,1,20,4.182941073713369,0.05675193664204297,0.01364934972521501,0.11145441286348329,0.016674646391357534,0.5528576709100974,0.09776115073829403,0.36795528689433726,0.03081182700282328,0.10712642211645731,0.029426402505290085,0.21082560127878247,0.02205050540010777,0.028557907096686697,0.007024291146560824,0.06927681221798217,0.011708288138867685,0.8233078375273765,0.058658814915008343,0.446884499684711,0.05520126444756239,0.04255643620067337,0.01282282180889085,0.13909613316599373,0.017743682224438662,0.019583181911155566,0.008272905103398731,0.051034847714062415,0.018871370019548434,0.9104389969245622,0.023583918448184808,0.5000607808927959,0.07812670121668719,0.023793147077626326,0.00863311804469567,0.11280725800995817,0.03138191206897174,0.02331449183142766,0.0066759737395912155,0.0582393906257229,0.017825232379544215,0.8607892634689294,0.020375036896030912,0.470770281281336,0.0758661454432646,0.035360091529171064,0.00841754139629795,0.12487112269283222,0.03169079778620483,0.030760016535090185,0.011520780403461075,0.08124702373715607,0.028853065252443532,0.8226651417581659,0.03801254971970084,0.46850768566523726,0.0910705808441132,0.04449032756996453,0.01670395878178175,0.16713193241310748,0.048895574348617125,0.039469695969191726,0.010891371626847605,0.0980917762382654,0.02749633769753429,0.767640504824295,0.03632591184271225,0.4429922630499026,0.07344878331961552,0.05877978508357573,0.015512991484171127,0.18275386974981966,0.04195704049901305,38.41822655992205,82.20206511986181,83.19167766981779,84.23985316135854,82.57184035808628,83.38295529687366
MIH119_1003,WIPV17/30728,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0316/PHT69,WIPV17/30726,,Mo44_PHW65,PHT69,5,2,1003,1,43786.461805555555,72,72.0,0.0,72,0,0.836821875,20.66,24.6,55.5,8181.36,6168.74544,7300.29046153846,131.53676507276504,584.124519745606,0.47706522500000004,91.95,10.0,689.625,99.0,205.5,12.5,18.5,1227.5,1270.2,0.62148293184075,76.6210526315789,8.2,0,2,4.3786385043368385,0.0694509266020341,0.018180079563632753,0.1178707952699791,0.02006296126363772,0.47947560534415345,0.13094748517443042,0.3678116094417713,0.028908231540331796,0.13184702447045718,0.04043882520732194,0.2144471288685156,0.024119527887507243,0.030235775433006682,0.007898013446853152,0.07153072161013758,0.011981497781771799,0.8237054156948815,0.061482987677469576,0.4553585810781377,0.053290593136184186,0.043341972272274,0.013846151793892777,0.14380676237224274,0.017850748879734944,0.020987205716711997,0.008723802742154776,0.0508750354009153,0.01812958372106007,0.8978114222149247,0.02691255191497367,0.47487125864017354,0.07479237310574634,0.025921860372470823,0.009505610243119897,0.11008617732505101,0.030293177780826824,0.024071497104815816,0.007975843726133533,0.057211925480304834,0.01974071076718805,0.8508268752761308,0.022131212679543155,0.45095494889165655,0.08447147453289511,0.036614657597727,0.010015573535313245,0.12221180631866922,0.03619014844179486,0.027999478806250016,0.011381248995807591,0.07242089656394547,0.02928964396451248,0.8314941224454343,0.03236305019314278,0.4527256154064359,0.1009090251993497,0.04127561249719304,0.015731563035642413,0.15374833454525638,0.052359998648390006,0.03500386229789025,0.011913760977199987,0.0861293635209375,0.02964361417088063,0.7775846663843884,0.037542549028072324,0.4244250543725265,0.0860685562758841,0.05396283921913566,0.017267957391759174,0.1652084831897904,0.04868524133811502,39.68252063991948,84.19580911985845,82.8639901162193,82.94630474286379,83.08038043328435,82.9364058770754
MIH119_1004,WIPV18/30467,Mo44_PHW65_0139/PHT69,Mo44_PHW65_0139/PHT69,WIPV17/30657,1.0,Mo44_PHW65,PHT69,6,2,1004,1,43786.46319444444,75,86.0,0.0,86,0,0.850700833,19.37,23.6,105.0,7670.52,5860.27728,6935.23938461538,66.04989890109886,554.915368943493,0.3794312720930233,70.25,9.6,505.79999999999995,134.0,219.0,13.5,18.5,1247.6,1270.2,0.43697373159071,70.0626373626374,6.0,1,17,3.677317861014614,0.06410009789069149,0.021800647805633115,0.11189699905119074,0.022790948640132255,0.5124487582484399,0.1605540800876994,0.36174729089389845,0.028478804710447433,0.12070585960971007,0.04916027076931598,0.207395338464651,0.028251850684281037,0.029693429542341054,0.007467638018779309,0.07738633959376903,0.01396769870192905,0.8353626371736504,0.05537571347887116,0.46632117727831407,0.05843546119315133,0.04112439023776828,0.012314643585389466,0.15589627288269545,0.02238089884809194,0.020497901316830762,0.008679038935766778,0.05473804014401929,0.020323790622372103,0.9048728339091817,0.025743043549519794,0.49445966679504266,0.08058765236763295,0.025039382344406613,0.009282374299827768,0.11946805951837498,0.03475419393400973,0.023031443466026723,0.006653428565929196,0.05866616412814409,0.017925155388545232,0.8617538609680223,0.020186449564482532,0.4741170862335369,0.08046168186136045,0.03545156665877696,0.008954233148761368,0.12903943067130866,0.0339975105584718,0.03140634910074285,0.011273224063904472,0.08105786082073016,0.029124574296813602,0.8107250130640441,0.03997281529329437,0.4661700667835356,0.0917929616394847,0.04773864460227404,0.018037766209902648,0.17044425563752286,0.05117669075002695,0.03693814991972752,0.010269914153710724,0.09141450289540365,0.024897068035355106,0.7674841692156982,0.03775570294756595,0.43296701968921114,0.07921025363211946,0.05745609727966413,0.01598763514705283,0.17316856028292085,0.04079990957087967,46.187517599906286,82.30175231986163,82.96639247671882,84.29955539605831,83.60775532608234,82.81461967167589
MIH119_1005,WIPV18/30665,Mo44_PHW65_0307/PHT69,Mo44_PHW65_0307/PHT69,WIPV17/30724,1.0,Mo44_PHW65,PHT69,7,2,1005,1,43786.47708333333,112,79.0,0.0,79,0,0.9196981940000001,16.53,26.6,55.8,6545.88,4804.67592,5686.00700591716,101.89976713113191,454.959447038437,0.338649482278481,89.0,11.25,750.9375,131.0,221.0,13.0,18.0,1247.6,1270.2,0.647247378491865,76.6210526315789,8.7,3,19,5.00351010148541,0.05577080811358868,0.01816019507654335,0.10505493501982381,0.01926651331284407,0.5804985884516951,0.14344978582130807,0.3727286773463411,0.038391665423205094,0.10095449608765662,0.04102856659488216,0.20075802431411802,0.025637434716361245,0.029209794086935144,0.0073478114884228465,0.07708458432757642,0.016621500139334056,0.8481153159304823,0.04548916838161628,0.47918886113870385,0.06432036379535057,0.03865310808961053,0.009713975640030115,0.15405430864202552,0.026055125897508833,0.021939487188791518,0.009888770637403893,0.05787049768972956,0.022914527893670673,0.9062114561794973,0.02700128476768377,0.5177545547029658,0.07790456552681138,0.026182973126061528,0.010677058001498473,0.12252432955419465,0.037580794668281015,0.02646120454324398,0.008685450997922476,0.0636714739819322,0.020871428920077196,0.8465676773741195,0.02884579517725962,0.49109936183666475,0.07712231040875728,0.04168096854145428,0.01316259099170372,0.13775620899728028,0.03918151689148514,0.03287375610638581,0.013219222123653788,0.07778058920122959,0.029905155317561476,0.8037651619069439,0.054601293067927256,0.46189149195943086,0.08636184423596208,0.052233822858839506,0.022019875242345,0.16031630174354858,0.05152496684985876,0.03806955030158235,0.012186883097479418,0.08824425052675351,0.02651476953707671,0.7640251696951336,0.05344210222169355,0.4290906397329656,0.07298801940106246,0.05847143612635088,0.01965026225817819,0.16316239130463134,0.041284547877480614,52.03997567989441,83.4581238398597,83.5603261676161,83.2647166612625,83.06154561568442,82.81461967167589
MIH119_1006,,CGR01/CG44,PHW52/PHN82,,,,,8,2,1006,1,43786.478472222225,115,88.0,0.0,88,0,0.944706528,18.69,23.6,56.4,7401.24,5654.54736,6691.77202366864,118.6484401359688,535.434602248522,0.35779031590909094,83.25,9.1,568.18125,131.5,242.5,14.0,20.5,1270.2,1293.55,0.574471413604104,76.6210526315789,6.2,0,15,4.94684706639614,0.047159813752286235,0.014107618132933803,0.09017400499222902,0.016548517269372984,0.6197375336436993,0.1274131365874687,0.35701029602078954,0.04478727543436354,0.08426364585368867,0.0317872331714168,0.17816366428763425,0.02421103893234724,0.024570956493336373,0.006876983296351214,0.06477649252436239,0.014870722747445188,0.8714288466954225,0.03526050073567351,0.4712589613223008,0.06507682037290319,0.03196804844975718,0.008236782309857704,0.1351491876372986,0.02472185015526369,0.018346401787070542,0.008304319801391725,0.05014884092477659,0.017780756677622727,0.9202835740907294,0.025667936363912375,0.5141738893358582,0.06186794817007555,0.02179492101358967,0.009245135210762524,0.10985351976099356,0.02989093980209218,0.022933993648680085,0.006767663780950209,0.05903637551444535,0.01865200966749438,0.8690604213301832,0.02215083959166469,0.48326005012186757,0.07350355751142043,0.03415657019554931,0.009105473398880357,0.12643358126442159,0.03453772573685634,0.025196416129695684,0.008593200364737654,0.07276125002880311,0.025849310640349572,0.8584962608541166,0.026689813627413222,0.4757687324502102,0.08390915326674606,0.03678437527826904,0.01196756544041941,0.15605927606069558,0.04750042664702435,0.03399120759278158,0.008797268974466957,0.0910555986741247,0.024961711368624698,0.8044867970428837,0.03058545694326961,0.4699718687483578,0.07491446503139125,0.05137730134052268,0.012996493085754809,0.17480630722530316,0.042449399947842456,60.155927999877946,83.35843663985986,83.5603261676161,83.00600697756354,84.3046435772797,82.87551277437565
MIH119_1007,WIPV17/30734,Mo44_PHW65_0336/PHT69,Mo44_PHW65_0336/PHT69,WIPV17/30734,1.0,Mo44_PHW65,PHT69,9,2,1007,1,43786.49444444444,152,90.0,0.0,90,0,0.9362166670000001,27.17,24.1,56.3,10759.32,8166.32388,9664.28861538462,171.65699139226678,773.277169707959,0.5052397350000001,91.0,10.2,696.15,121.5,232.5,13.0,18.0,1150.25,1247.6,0.600024985484294,64.15,7.7,1,3,5.284321520351312,0.04648103276310063,0.009968884496795477,0.08996232686759438,0.014733986739959811,0.6128905584809062,0.08539450154586,0.35282764616304196,0.03859725446876996,0.08514624192738734,0.023324042629429644,0.17698310912334073,0.024986510849430866,0.02353852987961594,0.006242693727174876,0.06028870877652237,0.01280628046093226,0.8697170184691684,0.038274748778578144,0.4586699619486956,0.06215064053937944,0.03135542513091148,0.007859444559518033,0.12641053041754416,0.020915240500692052,0.01838959227809418,0.007977583810259106,0.04749931682536537,0.01750968494552518,0.9221155691978543,0.021963478153714692,0.5206903469962976,0.06419408619916175,0.021576636709941872,0.008294790573358421,0.10394474031254457,0.02871510751968582,0.02153824924005613,0.0072359171907395055,0.0530061020901234,0.01821385333067179,0.881288942763175,0.025045301661233064,0.5044183461673529,0.07635578271720805,0.032461713556373326,0.010454662117487882,0.1158703435390788,0.03439012684049971,0.02602997391443017,0.010327310590701745,0.06369357124130462,0.02532286065597651,0.8561706803434453,0.03958021741562039,0.486098565096721,0.08368822593095226,0.03854598828075977,0.016246712775449694,0.13635791868630828,0.04538087880490485,0.03139053835118524,0.010135179173207264,0.07539709955824797,0.02461647691536265,0.8196271299128897,0.042623510271134944,0.4645554907700153,0.07549784603944709,0.0471212450340711,0.016778268855182365,0.14609414874801593,0.04154734526160052,65.33545535986744,82.52106415986127,83.5603261676161,83.48362485516161,82.40232699968692,83.50474150227319
MIH119_1008,,F42/OH43,F42/OH43,,,,,10,2,1008,1,43786.495833333334,155,79.0,0.0,79,0,0.926675833,23.62,27.6,53.9,9353.52,6771.94848,8014.14021301775,148.6853471802922,641.242403677787,0.4773093721518987,92.5,10.8,749.2500000000001,122.0,246.5,11.0,17.0,1227.5,1317.05,0.626486283056095,96.225,8.7,18,7,4.8430176001904295,0.0443972406690359,0.009420142946532503,0.09219174526614861,0.015736233747520697,0.6396461470489622,0.08919488272886071,0.3654339286946354,0.043895590600641354,0.08038775724038516,0.022861093229677113,0.18508757405186704,0.03035637056936364,0.02807565183475501,0.007918759129568725,0.07768392594726609,0.01995710742365507,0.8639653214903059,0.036938609523505465,0.49711694023519776,0.08104159250451388,0.035651754257646245,0.008841686570245625,0.15822105358464586,0.03340870629716771,0.02087896102806313,0.009347599424342538,0.055199824627998245,0.02203158493564383,0.914278043205278,0.02390087676162996,0.5353718141499442,0.07631271718101885,0.02468547648466716,0.009969451103118627,0.11899873697928415,0.03644296767170335,0.024666997506428007,0.008696527431011961,0.06529098063407461,0.023934841754360274,0.8652011153352608,0.031083325568663975,0.5264855120649795,0.08404902172036113,0.039188956198048866,0.014127943119255993,0.13871241348961028,0.04615902386529091,0.02908205694828106,0.011873905639580608,0.07412920452326564,0.030376942152933687,0.834517184336474,0.04584136751949959,0.4822778737426901,0.09273610934022812,0.04451904736035813,0.01970949324346631,0.15358368250932242,0.05437649489840846,0.034177349256906686,0.012290961881256992,0.0838986678998794,0.02943810267455684,0.7917150053914809,0.05569785847804174,0.45640758013883176,0.08178567970465299,0.05486045987548813,0.02214517688104417,0.15920067866511692,0.04800169599598559,60.84925055987654,84.27555887985832,83.5603261676161,82.38908388566605,84.3046435772797,83.28146679237406
MIH119_1009,WIPV18/30458,Mo44_PHW65_0168/PHT69,Mo44_PHW65_0168/PHT69,WIPV17/30674,1.0,Mo44_PHW65,PHT69,11,2,1009,1,43786.509722222225,192,82.0,0.0,82,0,0.9069897920000001,27.5,26.6,54.1,10890.0,7993.26,9459.47928994083,174.85174288245526,756.889582187357,0.5427795731707317,87.5,10.5,689.0625,121.0,227.5,12.0,17.0,1150.25,1174.6,0.561840760901169,76.6210526315789,7.6,6,2,4.508213606738993,0.046428643029139745,0.010029192658163044,0.08415833214135755,0.01423133824889557,0.6206104045783599,0.09068386407204744,0.35790753220555876,0.04049890125848533,0.08390126368662852,0.02353775867358245,0.16680494319542866,0.025829984120112403,0.024512805478424642,0.006148711230215255,0.059642971939225076,0.012868902470977517,0.8645316667530848,0.04091391844976746,0.4565704008240415,0.06773288320528309,0.032380755688569955,0.00798456350079018,0.12273103983708374,0.021040978576576927,0.019082510590669698,0.0077270193457630604,0.04697755137531203,0.016355188026434753,0.9182669827714562,0.02291716423011341,0.522765830399779,0.0651921434283274,0.022598137866104175,0.008221924900332018,0.10174095496186056,0.026449627473364153,0.023123336959679993,0.007985661457388119,0.05568618905358816,0.018932209145014277,0.8785736158198837,0.025246484942125898,0.5349846608407394,0.08266788904403977,0.035465730065733024,0.01191588379470098,0.11892007022445891,0.03526702604894476,0.02852285350969893,0.011348294892085962,0.06529590690241752,0.024614051775833902,0.8528052565279707,0.03489024934587592,0.5143823058309681,0.08738270472943269,0.04173930862005902,0.01601887928980478,0.13633157496758602,0.04323750065660369,0.03374793977269616,0.011032552599626001,0.07526607462794664,0.0235305688134684,0.8139996983779914,0.041143175850607235,0.47941978619238335,0.0782007834891847,0.05031307151145141,0.01742972822617945,0.1449925439443223,0.037987105709267,61.37943839987546,82.34162719986158,83.06879483721835,84.23985316135854,82.43999663488678,83.60623000677279
MIH119_1010,WIPV17/30015,Mo44_PHW65_0031/PHT69,Mo44_PHW65_0031/PHT69,WIPV17/30015,1.0,Mo44_PHW65,PHT69,12,2,1010,1,43786.510416666664,195,82.0,1.0,82,1,0.9265633329999999,24.95,22.8,57.9,9880.2,7627.5144,9026.64426035503,155.90059171597633,722.256774750734,0.5243381111111111,88.25,10.0,661.875,115.5,213.5,13.0,18.5,1174.6,1247.6,0.585252181684285,76.6210526315789,8.3,1,4,4.638797876741081,0.04754914242302928,0.012697384190039419,0.08594202438770149,0.01752668968835618,0.620340781277039,0.08999362568460824,0.3592295313494984,0.04074149381559664,0.08473793169572746,0.027259897585271198,0.16865641232832915,0.028594342474019045,0.02431049731261139,0.006900635971995035,0.05943039293383651,0.013339783114780108,0.8635876210678162,0.045607123556526054,0.4586466548376438,0.06733080891267036,0.03284870915075354,0.009637352861754272,0.12258484508516143,0.021817942746217435,0.01997196428346306,0.008807050748760868,0.048198864084813935,0.018195625759943213,0.9157716215399181,0.024568964622781107,0.5290758606446612,0.07105603229775724,0.023753186293452837,0.009377079850634086,0.10443362314399036,0.02992642509196485,0.020777817050879787,0.007789680142576404,0.050408940032282454,0.019111323931335703,0.88605080595268,0.021560639758554823,0.5109176145403262,0.0898328332368132,0.03166515733849277,0.010713156589951239,0.1090463059395368,0.03602992764772995,0.02606212523298067,0.011677960738977828,0.06037893183466495,0.02563652654667026,0.8595012943515267,0.03581124706548223,0.49133258083512305,0.09503668042021021,0.037817517590863485,0.016504708346213193,0.1269234969568793,0.04499875790216546,0.03181040956574226,0.011434693495945985,0.07126237133205897,0.025532255278123816,0.8133568330274146,0.04060107050817574,0.44589919316853194,0.08427602125543286,0.04703741776972879,0.017107273798882657,0.13802421773721368,0.04136733027549068,68.04757007986193,83.91668495985893,82.92543153251901,82.70749580406476,83.174554521284,83.62652770767271
