,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,LPlantL1.End.Angle,LPlantL1.End.Length,LPlantL1.Mid.Angle,LPlantL1.Mid.Length,LPlantL1.Stem.Angle,A1,N1,A2,N2,a,b,c,d,length,curled
0,MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,60,64.0,45.0,64.0,21.0,0.002200443652831573,2.6050890646938027,-0.12844502860787926,1.9989551454284225,45.254833995939045,55.42562584220408,45.25483399593904,31.999999999999996,86.39934566300204,0.0
1,MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,45,53.0,36.0,69.0,15.0,0.0024352368484977286,2.711493628375541,0.0,0.0,40.557182408180644,37.47665940288702,55.82217261187137,37.476659402887016,130.74237557315817,1.0
2,MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,65,71.0,45.0,56.0,20.0,0.0016147394578517795,2.747477419454622,-8.411081505881592e-07,5.06400540907975,39.59797974644666,64.34785287960214,39.597979746446654,30.00589658358966,89.3317089580459,0.0
3,MIH119_1004,6,2,1,B37/H95,B14A/H95,,,70,48.0,50.0,58.0,22.0,0.0005144444379495779,2.9496936495415684,0.0,0.0,44.43057770090073,45.105245797723605,37.281681361819274,16.4169668796321,110.28187900929223,1.0
5,MIH119_1006,8,2,1,B37/H95,B37/H95,,1.0,59,81.0,50.0,72.0,20.0,9.181114923500419e-05,3.2743160852065145,-3.3615178636651636e-06,5.311579165951511,55.155199904566416,69.43055135687109,46.28070789743083,41.718084067714386,95.10747499634851,0.0
6,MIH119_1007,9,2,1,B37/H95,B73/MO17,,,37,61.0,25.0,70.0,14.0,0.11249619696660484,1.8702578644898193,-0.32521395374935785,1.941393676433824,29.58327832184896,36.71071641227495,63.4415450925655,48.71676611288486,89.10367027392846,0.0
8,MIH119_1009,11,2,1,B37/H95,B73/MO17,,,55,45.0,23.0,62.0,15.0,0.36602512228030754,1.584161580627706,-0.680853487126994,1.508623156789698,24.22532996633497,36.86184199300463,57.07130091405131,25.810939635797073,97.11182908693425,0.0
9,MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,80,67.0,46.0,75.0,24.0,0.004880787610340575,2.3258391652661903,-0.8379057854842769,1.558683172227278,53.95048502539884,65.98211945181794,52.099377784424796,11.634427903684331,122.30858360642495,0.0
10,MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,61,53.0,30.0,59.0,15.0,0.03478214443463052,2.1547005383792524,-0.023277087987224235,2.476443993888415,29.500000000000007,46.354844478387975,51.09549882328188,25.694909873055863,94.59878378391244,0.0
11,MIH119_1012,14,2,1,B37/H95,B14A/H95,,,60,62.0,27.0,70.0,20.0,0.49216631960605733,1.3999096671234095,-0.08380758869694162,1.919286043509798,31.779334981768276,53.6935750346352,62.370456693185744,30.999999999999996,110.55606663991438,0.0
