,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,LPlant.L2.End.Angle,LPlant.L2.End.Length,LPlant.L2.Mid.Angle,LPlant.L2.Mid.Length,LPlant.L2.Stem.Angle,A1,N1,A2,N2,a,b,c,d,total_blade_length,upblade_length,downblade_length,curled
0,MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,51.0,32.0,25.0,49.0,15.0,0.22751342276838038,1.740283872192915,-2.373232715901254,1.6309015604237458,20.708294825294274,24.86867076662307,44.40908156479585,20.1382525135948,74.96991167807437,50.21099632231836,24.758915355756006,0.0
1,MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,83.0,40.0,46.0,49.0,19.0,0.01124409407698322,2.25,-1.1997811891575492,2.1359478230913815,35.24765021659391,39.70184606565288,34.038260152490864,4.874773736205899,81.73876589956203,51.86745436420326,29.871311535358764,0.0
2,MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,47.0,39.0,25.0,54.0,18.0,0.5498553440886226,1.4351474027623847,-2.5271781318083577,1.2520130428213563,22.82138613399777,28.522794363147646,48.9406204999791,26.59793604243744,77.68165359219037,54.582457953685406,23.09919563850494,0.0
3,MIH119_1004,6,2,1,B37/H95,B14A/H95,,,78.0,39.0,45.0,43.0,26.0,0.02769799206067838,2.050303841579296,-0.5074543003464248,1.8482615147823704,30.405591591021544,38.14775642861842,30.40559159102154,8.108555941892613,69.22543489676401,45.08585560423793,24.13957929252608,0.0
4,MIH119_1005,7,2,1,B37/H95,B73/PHM49,,,90.0,41.0,60.0,48.0,30.0,0.005469838910115525,2.25,0.0,0.0,41.569219381653056,41.0,23.999999999999996,0.0,49.96515788273592,49.96515788273592,0.0,1.0
5,MIH119_1006,8,2,1,B37/H95,B37/H95,,1.0,90.0,60.0,54.0,37.0,20.0,0.010376761377903252,2.25,-0.02031969901455806,2.0496191397964947,29.933628791873055,60.0,21.748054334821507,0.0,77.48888449090595,38.86090587247857,38.62797861842737,0.0
6,MIH119_1007,9,2,1,B37/H95,B73/MO17,,,59.0,44.0,35.0,56.0,14.0,0.01867665332975716,2.25,-0.5736105003137266,2.14905065112353,32.120280435658586,37.715361230892945,45.87251448018354,22.661675296042382,83.74950588482623,59.32430348401552,24.42520240081071,0.0
7,MIH119_1008,10,2,1,B37/H95,B73/PHM49,,,90.0,52.0,55.0,42.0,20.0,0.008403486750126817,2.25,-0.07631294556634154,2.006771708300087,34.40438586013766,52.0,24.090210326743936,0.0,75.27676683319461,44.05356865384797,31.223198179346642,0.0
8,MIH119_1009,11,2,1,B37/H95,B73/MO17,,,65.0,46.0,35.0,53.0,12.0,0.02000733547968027,2.25,-0.15634906761355172,2.0762045220839545,30.399551126605445,41.6901582036859,43.41505834731657,19.440440040072176,83.73396921445125,56.146215797371845,27.5877534170794,0.0
9,MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,68.0,47.0,35.0,63.0,10.0,0.016119753803781844,2.25,-0.5200530462524361,2.082613393031747,36.13531549011591,43.57764116463901,51.606578790206484,17.606509890547866,102.19912408903062,66.73984141951746,35.459282669513165,0.0
10,MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,75.0,56.0,40.0,52.0,11.0,0.014828523825660725,2.25,-0.05711857884158021,2.01253468218063,33.42495570370005,54.09184627218782,39.834311042186854,14.493866525741161,89.40643389050861,55.15136746618931,34.255066424319295,0.0
11,MIH119_1012,14,2,1,B37/H95,B14A/H95,,,57.0,48.0,34.0,53.0,17.0,0.024868851398635088,2.206217948503905,-0.14206790767117153,2.044509028953326,29.63722388394958,40.256187261380354,43.938991345417215,26.142673680721295,77.66197020058503,55.993617149004535,21.6683530515805,0.0
12,MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,35.0,46.0,18.0,62.0,9.0,0.1379926919061751,2.051462224238267,-0.593104491576065,1.810448990617582,19.159053651246744,26.384516072148124,58.96550401029952,37.68099403729362,86.71574988181027,63.77150861775281,22.94424126405745,0.0
13,MIH119_1014,16,2,1,B37/MO17,B14A/MO17,,,76.0,62.0,47.0,69.0,20.0,0.006933223067540692,2.25,-0.2568518666069202,2.12485421311289,50.46340541172276,60.15833502911178,47.05788684431239,14.999157527179399,107.45152740110564,72.98902036048315,34.46250704062247,0.0
14,MIH119_1015,17,2,1,B37/MO17,B37/MO17,,1.0,65.0,56.0,40.0,51.0,21.0,0.018999728092209244,2.185929273368535,-0.0522637433761883,1.9682910603246238,32.78216809401351,50.753236074052396,39.068266599067876,23.66662265747917,78.56393350989482,53.91525827556868,24.648675234326134,0.0
15,MIH119_1016,18,2,1,B37/MO17,B14A/MO17,,,90.0,47.0,45.0,48.0,18.0,0.012206529374407821,2.25,-0.1905538591367205,2.016934220812066,33.941125496954285,47.0,33.94112549695428,0.0,88.37955791337012,50.83811063134325,37.541447282026866,0.0
16,MIH119_1017,19,2,1,B37/OH43,B37/OH43,,1.0,55.0,58.0,22.0,22.0,10.0,0.17725268437476827,2.25,0.0,0.0,8.241345055150068,47.51081856876152,20.39804480046932,33.26743330836067,22.960124312047935,22.960124312047935,0.0,1.0
17,MIH119_1018,20,2,1,B37/OH43,B14A/OH43,,,88.0,50.0,54.0,56.0,25.0,0.006181287607265058,2.25,-1.3516254625961635,2.0377795470784212,45.30495168499706,49.969541350954785,32.915974128378494,1.7449748351250485,90.66744342353502,58.81650618537297,31.850937238162054,0.0
18,MIH119_1019,21,2,1,B37/OH43,B37/OH43,,1.0,80.0,61.0,43.0,57.0,24.0,0.019521886657238908,2.094463175685645,-0.10319878621861978,1.8690853709420072,38.87390652356241,60.07327293374469,41.68716099229272,10.592538837682751,99.01558555887344,59.945798004262706,39.069787554610734,0.0
19,MIH119_1020,22,2,1,B37/OH43,B14A/OH43,,,89.0,51.0,50.0,51.0,18.0,0.008590794924563126,2.25,-0.17366971662680222,2.1032286991374303,39.068266599067876,50.992232452975955,32.7821680940135,0.8900727283014591,89.04921765548481,53.81089011850431,35.2383275369805,0.0
20,MIH119_1021,23,2,1,CG119/CG108,CG119/CG108,,1.0,77.0,36.0,43.0,46.0,12.0,0.014443341535645289,2.25,-1.0630398647555932,2.4273124940110744,31.37192456287493,35.077322332268466,33.64227027448184,8.098237956379139,74.99503386988164,48.761626029023816,26.233407840857815,0.0
21,MIH119_1022,24,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,55.0,66.0,33.0,59.0,20.0,0.10131522701127556,1.7842326983325338,-0.10050898115768042,1.5385070266240284,32.13370306588661,54.06403492307346,49.48156350878001,37.85604479916904,86.06415773653882,60.93446219923072,25.129695537308084,0.0
