,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,RPlant.L2.End.Angle,RPlant.L2.End.Length,RPlant.L2.Mid.Angle,RPlant.L2.Mid.Length,RPlant.L2.Stem.Angle,A1,N1,A2,N2,a,b,c,d,length,curled
1,MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,75,43.0,43.0,48.0,15.0,0.00018740871166383246,3.4801936802902214,-1.2197092024299325,1.369629302663416,32.735921282999925,41.53481053042994,35.104977677720186,11.129218939408393,79.22055306609397,0.0
2,MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,43,46.0,33.0,65.0,27.0,0.5783931533806084,1.2745341647642496,0.0,0.0,35.401537275976764,31.37192456287493,54.51358691645255,33.64227027448184,114.4704147012194,1.0
3,MIH119_1004,6,2,1,B37/H95,B14A/H95,,,85,69.0,48.0,49.0,33.0,0.07008648369884325,1.7101932999594782,-0.04182545866293174,1.8590505527805936,36.41409644839232,68.73743416833044,32.78739971158405,6.013746249588413,93.84306474787026,0.0
5,MIH119_1006,8,2,1,B37/H95,B37/H95,,1.0,40,72.0,40.0,72.0,30.0,0.20948619566962534,1.4533631938113547,0.0,0.0,46.28070789743084,46.28070789743084,55.155199904566416,55.155199904566416,127.9886601112146,1.0
6,MIH119_1007,9,2,1,B37/H95,B73/MO17,,,55,50.0,35.0,59.0,15.0,0.0048692245752282644,2.613210108441364,-1.3851624083691276,1.3515487033464508,33.84100974471173,40.95760221444959,48.32997061305051,28.678821817552304,84.59212628230718,0.0
9,MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,80,51.0,45.0,50.0,23.0,0.007952865104374672,2.3558523658237536,-0.7472790384156971,1.3219673744517377,35.35533905932738,50.22519540362261,35.35533905932737,8.856057061013447,83.84438230258144,0.0
11,MIH119_1012,14,2,1,B37/H95,B14A/H95,,,48,57.0,32.0,71.0,14.0,0.006779826847174837,2.5062140825888313,-1.1277001829911868,1.9126192560352884,37.62426776055755,42.35925505221147,60.211414827106246,38.14044456245492,98.86166978419757,0.0
12,MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,57,60.0,40.0,69.0,24.0,0.041614431807819326,1.884648628593635,-1.2649510534205417,1.5503839111997917,44.352345068371214,50.32023407672544,52.85706657520948,32.67834210090162,93.02513548956802,0.0
13,MIH119_1014,16,2,1,B37/MO17,B14A/MO17,,,55,89.0,25.0,78.0,25.0,2.1445069205095586,1.0,-2.0445787604183313e-06,4.36029088418078,32.96422441577456,72.90453194172026,70.6920073888587,51.0483028352431,126.52350911549871,0.0
15,MIH119_1016,18,2,1,B37/MO17,B14A/MO17,,,70,54.0,35.0,56.0,30.0,0.6825556447652609,1.2127950320219432,-0.5544265260997945,1.3337723576030773,32.120280435658586,50.74340152243906,45.87251448018354,18.46908773958611,89.66817550326378,0.0
17,MIH119_1018,20,2,1,B37/OH43,B14A/OH43,,,75,51.0,40.0,54.0,25.0,0.06992895981575174,1.7994549660566952,-0.8786827025519881,1.2949398402991925,34.71053092307312,49.262217140742486,41.36639992842481,13.199771300228559,87.80843253986563,0.0
18,MIH119_1019,21,2,1,B37/OH43,B37/OH43,,1.0,75,58.0,45.0,58.0,35.0,0.2039081177904972,1.4281480067421146,-0.7752768466314007,1.2967499360233985,41.01219330881976,56.02369792476596,41.012193308819754,15.011504615946203,89.05041416115935,0.0
20,MIH119_1021,23,2,1,CG119/CG108,CG119/CG108,,1.0,60,57.0,35.0,63.0,25.0,0.23621895265499077,1.5015999114836838,-0.5681349083863242,1.4349409468033951,36.13531549011591,49.363448015713004,51.606578790206484,28.499999999999996,91.08280045436587,0.0
21,MIH119_1022,24,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,80,53.0,35.0,44.0,30.0,0.7184974397095653,1.212795032021943,-0.08706799565259983,1.7396729990005186,25.23736319944603,52.194810909647025,36.04268994871564,9.203353416347307,83.41278448388564,0.0
22,MIH119_1023,25,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,75,53.0,40.0,52.0,25.0,0.07207098669158735,1.7994549660566956,-0.3922753934942945,1.4590546191167433,33.42495570370005,51.19406879332062,39.834311042186854,13.717409390433598,85.91414634692626,0.0
23,MIH119_1024,26,2,1,CG119/CG108,CG119/CG108,,1.0,50,40.0,25.0,48.0,25.0,2.1445069205095586,1.0,-0.5875134827530882,1.4590174543500192,20.285676563553572,30.64177772475912,43.502773777759195,25.71150438746157,68.87567400345462,0.0
24,MIH119_1025,27,2,1,CG44/CGR01,CG44/CGR01,,1.0,85,35.0,45.0,46.0,25.0,0.018587783746040754,2.1445069205095586,-5.291088237012372,2.020408608908184,32.526911934581186,34.8668144332111,32.526911934581186,3.0504509961680357,78.15027202904595,0.0
25,MIH119_1026,28,2,1,CG44/CGR01,CG44/CGR01,,1.0,75,56.0,45.0,55.0,30.0,0.06857261530181327,1.7320508075688772,-0.5412379023829426,1.3994317348374319,38.890872965260115,54.09184627218782,38.89087296526011,14.493866525741161,85.77859090023671,0.0
26,MIH119_1027,29,2,1,CGR01/CG44,PHW52/PHN82,,,125,57.0,60.0,46.0,40.0,0.011440577840906031,2.0641777724759125,-3.71363737694017,1.406748867512624,39.83716857408418,46.69166652447253,22.999999999999996,-32.693856872009626,103.74511160381434,0.0
27,MIH119_1028,30,2,1,CGR01/CG44,PHW52/PHN82,,,70,64.0,35.0,35.0,35.0,1.428148006742115,0.9999999999999999,-3.361199641913816e-08,5.181540765040287,20.075175272286614,60.14032773029814,28.670321550114714,21.889289172842798,76.5757694012425,0.0
30,MIH119_1031,28,3,1,F42/OH43,F42/MO17,,,60,51.0,40.0,54.0,25.0,0.06992895981575174,1.7994549660566952,-0.898058932923093,1.2781788793795716,34.71053092307312,44.16729559300637,41.36639992842481,25.499999999999996,74.49733709098952,0.0
32,MIH119_1033,26,3,1,F42/OH43,F42/H95,,,70,45.0,35.0,42.0,20.0,0.07554796998207094,1.923804400163087,-0.009250257112726883,2.629344244456384,24.09021032674394,42.28616793536588,34.40438586013766,15.390906449655093,72.1340909588488,0.0
33,MIH119_1034,25,3,1,F42/OH43,F42/OH43,,1.0,70,61.0,35.0,62.0,20.0,0.052719138723582006,1.923804400163087,-0.06362288647440076,1.9978401631425238,35.56173905376486,57.321249867940416,50.78742674591749,20.863228742865793,103.2807723309771,0.0
34,MIH119_1035,24,3,1,H95/B14A,PHG39/PHN82,,,70,44.0,40.0,49.0,25.0,0.07557744621430453,1.7994549660566952,-1.125726593878784,1.3091036621921812,31.496592874640427,41.34647531457997,37.536177712829925,15.048886306329424,75.42242848102856,0.0
35,MIH119_1036,23,3,1,H95/B14A,PHG39/PHN82,,,60,58.0,40.0,59.0,20.0,0.010352695352626017,2.305407289332278,-0.08591366993582136,2.087331640296894,37.924468971505824,50.229473419497445,45.196622144019706,28.999999999999996,84.13548468419913,0.0
36,MIH119_1037,22,3,1,Mo44/PHT69,Mo44/PHT69,,,70,57.0,40.0,52.0,30.0,0.2427889103663997,1.4533631938113547,-0.11806461687110979,1.7148795342618532,33.42495570370005,53.56247938479678,39.834311042186854,19.495148169563116,82.30003118463583,0.0
37,MIH119_1038,21,3,1,Mo44/PHT69,Mo44/PHT69,,1.0,80,62.0,45.0,58.0,30.0,0.06595773582857792,1.732050807568877,-0.6124466587382732,1.3007426097311323,41.01219330881976,61.058080686756895,41.012193308819754,10.766187015349681,96.34761477218214,0.0
38,MIH119_1039,20,3,1,Mo44_PHW65_0001/PHT69,Mo44_PHW65_0001/PHT69,WIPV17/30001,1.0,45,57.0,20.0,61.0,20.0,2.7474774194546216,1.0,-0.0015322776151309669,3.13913684228493,20.863228742865797,40.305086527633215,57.32124986794041,40.30508652763321,89.31458523704353,0.0
39,MIH119_1040,19,3,1,Mo44_PHW65_0009/PHT69,Mo44_PHW65_0009/PHT69,WIPV17/30602,1.0,65,45.0,40.0,53.0,25.0,0.07098179143713522,1.7994549660566954,-1.3280162165259972,1.4639986261798903,34.067743313386586,40.783850416649244,40.60035548530583,19.017821778331474,77.65136525624214,0.0
40,MIH119_1041,18,3,1,Mo44_PHW65_0011/PHT69,Mo44_PHW65_0010/PHT69,WIPV17/30603,,75,51.0,40.0,53.0,25.0,0.07098179143713522,1.7994549660566954,-0.6241430446142014,1.3899429730754422,34.067743313386586,49.262217140742486,40.60035548530583,13.199771300228559,86.53560616059738,0.0
