,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,RPlant.L1.End.Angle,RPlant.L1.End.Length,RPlant.L1.Mid.Angle,RPlant.L1.Mid.Length,RPlant.L1.Stem.Angle,A1,N1,A2,N2,a,b,c,d,total_blade_length,upblade_length,downblade_length,curled
0,MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,65.0,58.0,55.0,66.0,26.0,0.004776295778505388,2.25,0.0,0.0,54.06403492307346,52.565851648125694,37.85604479916904,24.511859180960567,69.2270364560468,69.2270364560468,0.0,1.0
1,MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,53.0,59.0,33.0,63.0,23.0,0.23650216767974683,1.5299084148182651,-0.6365642227463904,1.2957047839739655,34.31225920594672,47.119495092790274,52.83624578056171,35.50708636597085,85.89213426940165,64.17893894613188,21.713195323269773,0.0
2,MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,61.0,62.0,48.0,70.0,25.0,0.006445002116861063,2.25,0.0,0.0,52.020137783417596,54.22642184264254,46.839142445120075,30.0581964552729,73.99048419542395,73.99048419542395,0.0,1.0
3,MIH119_1004,6,2,1,B37/H95,B14A/H95,,,75.0,52.0,54.0,58.0,23.0,0.005916011274990396,2.25,-1.5586369227823538,2.160696177166692,46.92298567374695,50.22814296703155,34.09154463296344,13.458590345331078,82.10189788815751,60.91709569199343,21.184802196164082,0.0
4,MIH119_1005,7,2,1,B37/H95,B73/PHM49,,,64.0,48.0,45.0,60.0,20.0,0.009235378184717586,2.25,0.0,0.0,42.42640687119285,43.14211422236002,42.426406871192846,21.041815045875715,63.54763828917906,63.54763828917906,0.0,1.0
5,MIH119_1006,8,2,1,B37/H95,B37/H95,,1.0,85.0,66.0,47.0,57.0,24.0,0.008803451320843541,2.25,-0.04649272885973113,2.065208649170681,41.68716099229272,65.74885007405521,38.87390652356241,5.752279021345439,103.27445855139939,60.29527768909479,42.97918086230461,0.0
6,MIH119_1007,9,2,1,B37/H95,B73/MO17,,,35.0,73.0,20.0,80.0,20.0,2.747477419454619,1.0000000000000002,-1.0598121184747675,1.0,27.361611466053507,41.87107985362637,75.17540966287267,59.7980992330964,101.14205167299717,80.00000000000001,21.142051672997162,0.0
7,MIH119_1008,10,2,1,B37/H95,B73/PHM49,,,90.0,50.0,46.0,41.0,30.0,0.06583882585458253,1.7935911162630085,-0.24623982386284105,1.5726741482457909,29.4929318138847,50.0,28.480993188818886,0.0,78.25387908644285,42.39187644140784,35.86200264503502,0.0
9,MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,74.0,69.0,57.0,71.0,29.0,0.0039260440997371405,2.25,-0.37607976404195137,2.0666968601283133,59.54561032412511,66.327057019744,38.669371486066915,19.01897755137294,95.68966232371679,74.25812652626209,21.431535797454703,0.0
10,MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,75.0,61.0,40.0,64.0,20.0,0.011438712151932779,2.25,-0.08260078706669868,2.0837186178064364,41.13840701993852,58.92147540363317,49.02684435961459,15.787961751253764,107.27219105155109,67.878606112233,39.393584939318096,0.0
