plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,End.Angle,End.Length,Mid.Angle,Mid.Length,Stem.Angle,A1,N1,A2,N2,a,b,c,d,model_leaf_length
MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,62.5,61.0,50.0,65.0,23.5,0.001259777142822794,2.766613204630487,-0.12844502860787926,1.9989551454284225,49.65943445950626,53.99573874516489,41.55543939755404,28.255929590480285,86.39934566300205
MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,49.0,56.0,34.5,66.0,19.0,0.11946870226412229,2.120701021596903,-0.20444515326534,1.7411090891274843,37.434720807063684,42.29807724783865,54.32920919621654,36.49187288442893,86.40809731612568
MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,63.0,66.5,46.5,63.0,22.5,0.002722266818625042,2.564596821755176,-2.8480154489072382,3.214715587368204,45.809058764932125,59.28713736112234,43.218561095783365,30.03204651943128,90.36194312304474
MIH119_1004,6,2,1,B37/H95,B14A/H95,,,72.5,50.0,52.0,58.0,22.5,0.000322094748229305,3.096123126580312,-3.5905034630603527,1.4626686702659082,45.67678168732384,47.66669438237757,35.686612997391364,14.937778612481589,84.1877490336322
MIH119_1006,8,2,1,B37/H95,B37/H95,,1.0,72.0,73.5,48.5,64.5,22.0,0.002482166051865263,2.8414478215530887,-0.0923052749497523,3.4716226593587134,48.42118044842957,67.58970071546315,42.57730721049661,23.735181544529915,98.91310077451804
MIH119_1007,9,2,1,B37/H95,B73/MO17,,,36.0,67.0,22.5,75.0,17.0,1.4299868082106122,1.43512893224491,-0.17009492081118857,2.266906501967815,28.472444893951234,39.29089813295066,69.30847737771909,54.25743267299063,95.93850508299333
MIH119_1009,11,2,1,B37/H95,B73/MO17,,,55.0,45.0,23.0,62.0,15.0,0.3660251222803075,1.584161580627706,-0.680853487126994,1.5086231567896984,24.225329966334968,36.86184199300463,57.071300914051314,25.810939635797077,97.11182908693424
MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,77.0,68.0,51.5,73.0,26.5,0.002667287475040961,2.5519145483285004,-1.0795014252038497,1.4845051908725222,56.74804767476198,66.15458823578096,45.38437463524586,15.326702727528637,109.48739107488794
MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,68.0,57.0,35.0,61.5,17.5,0.022045926166020212,2.230053913855765,-0.2532978622720009,1.9731832080128475,35.31920350996926,52.63815994101057,50.061171591448236,20.741435812154812,100.44063130360239
MIH119_1012,14,2,1,B37/H95,B14A/H95,,,71.0,62.0,41.0,67.5,26.5,0.2490625124017355,1.7995323729236121,-0.5611111819791806,1.750210985153605,42.51210893027637,57.54509764830628,49.82646252800187,19.81436612976203,104.3368063449252
MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,43.0,65.0,27.5,70.5,15.0,0.07019822020239289,1.9541140055268649,-0.07858337835387529,3.2991050843513228,32.464257422665185,43.642946719219154,62.50495676388253,47.516108401375135,93.516891418374
MIH119_1014,16,2,1,B37/MO17,B14A/MO17,,,64.5,70.0,51.5,61.5,30.0,0.008133940630473971,2.210661476608602,-0.14024907576983897,3.388557264490368,48.13563776883086,62.69664092259508,38.093798850819795,29.760150008329063,82.55436029553618
MIH119_1015,17,2,1,B37/MO17,B37/MO17,,1.0,62.0,64.0,55.5,66.0,30.0,0.025380818053342292,2.785396706950239,-0.004494952562481686,2.831550644238139,53.87047879847529,56.244841905072285,37.605653561385424,30.45927866972693,88.45378583860119
MIH119_1016,18,2,1,B37/MO17,B14A/MO17,,,80.0,57.5,40.0,51.0,15.0,0.0036591252269746345,3.172630458005121,-0.003121392905068296,3.0801663345704,32.991247909297385,56.62644579820197,38.639486891870135,9.984770215848492,97.09872013528752
MIH119_1017,19,2,1,B37/OH43,B37/OH43,,1.0,67.5,65.5,50.0,60.5,32.0,0.0345350907786282,1.9246836498120032,-0.1508310376069023,1.7522003488198896,45.749159734000905,60.364705063378324,39.24140612364533,25.263552591564892,83.56533730116962
MIH119_1018,20,2,1,B37/OH43,B14A/OH43,,,82.0,53.0,50.0,52.5,30.0,0.03618066056058277,2.102837857987219,-1.7124471103043968,1.325958116067956,39.98026022140608,52.47054991937068,33.71808221898846,6.9514525497758335,85.39892895452448
MIH119_1019,21,2,1,B37/OH43,B37/OH43,,1.0,70.0,68.0,41.0,59.5,22.5,0.037538394030598166,2.2721764044009043,-0.034295377217017566,2.862467298924159,38.44028782840936,61.54474658714232,45.230594626295286,22.951314782959326,97.4954483953319
MIH119_1020,22,2,1,B37/OH43,B14A/OH43,,,85.0,74.0,37.0,50.0,20.0,0.03470652913182727,2.070372736996004,-4.513250271508706e-05,3.5799863859503094,30.09075115760242,73.71840765878919,39.93177550236464,6.449524963326705,113.30652457612571
MIH119_1021,23,2,1,CG119/CG108,CG119/CG108,,1.0,80.0,66.0,47.5,56.5,24.0,0.007875398562896523,2.4760512205507936,-0.20906646107387541,2.045702986783036,41.631256502114205,64.99731169880573,38.1184367492897,11.460779726017403,97.6663402275106
MIH119_1022,24,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,52.5,79.5,42.5,74.5,29.0,0.08698507129547704,1.6757930516250727,-0.10520491247354616,1.6731592696382294,49.94899476195039,61.159264528389826,54.41316100193792,44.844481730033614,107.27673166144551
MIH119_1023,25,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,50.0,42.0,20.0,61.0,16.0,1.2122852723091242,1.2693150521081138,-1.2925300854883504,1.3007736578028504,20.8632287428658,32.173866610997074,57.32124986794041,26.99707960683465,93.7141363883647
MIH119_1024,26,2,1,CG119/CG108,CG119/CG108,,1.0,70.0,64.0,42.5,53.0,26.5,0.05545246968918251,1.8400907157015134,-0.003973716642120032,2.8901194488581314,35.61140342938678,59.79223954791814,39.1858515989275,22.1335922522594,86.74704695715505
MIH119_1025,27,2,1,CG44/CGR01,CG44/CGR01,,1.0,72.0,56.0,45.0,62.0,20.0,0.0013516291697305044,2.747477419454622,-0.8441463986673658,1.5374098376058114,43.84062043356595,53.259164912528604,43.84062043356594,17.304951684997057,95.65047388959765
MIH119_1026,28,2,1,CG44/CGR01,CG44/CGR01,,1.0,64.0,62.5,42.5,64.0,22.5,0.011269171146454607,2.224957104920919,-0.6311567444385854,1.514753714244643,43.00366299343875,55.79816401097584,47.31765216357411,27.389030826895457,92.1010207334709
MIH119_1031,28,3,1,F42/OH43,F42/MO17,,,60.0,65.5,41.0,62.5,24.0,0.335190209054555,2.2566032783233854,-0.027913072880136072,2.5152124761750763,40.89739976052036,56.48702054022786,46.808084872814206,32.66311590615725,88.7286491128055
MIH119_1032,27,3,1,F42/OH43,F42/MO17,,,80.0,57.0,35.0,59.0,27.0,0.3822984205437343,1.3742346705242758,-0.6543184267800266,1.3120787705273975,33.84100974471173,56.13404192169586,48.329970613050506,9.897946127015027,104.41397708676894
MIH119_1033,26,3,1,F42/OH43,F42/H95,,,65.0,58.5,35.0,61.5,20.0,0.09682839960735562,1.942395396351237,-0.039371664650727334,2.192629561414061,33.81445738181384,52.9093362399345,50.25990124187615,24.4316143714329,97.95752980402028
MIH119_1034,25,3,1,F42/OH43,F42/OH43,,1.0,65.0,66.5,37.5,69.0,22.5,0.05264361524737027,1.861629683109891,-0.5973722541319684,1.6976665134887683,41.92995400162896,60.316376380719554,54.71583261615997,27.404745303049744,106.22932622931181
MIH119_1035,24,3,1,H95/B14A,PHG39/PHN82,,,75.0,59.0,45.0,62.5,22.5,0.030975007286690993,2.536885525631605,-0.7594750284008687,1.4430596649933023,43.99518744181431,56.77276102704444,44.05681585853053,15.21221546928167,98.63743558189182
MIH119_1036,23,3,1,H95/B14A,PHG39/PHN82,,,64.5,66.0,40.0,64.0,17.5,0.004870771114336733,2.718484872749097,-0.08387830382650244,3.1216159153839813,41.13840701993852,59.55333301860699,49.02684435961459,28.444156251579393,99.6341739794336
MIH119_1037,22,3,1,Mo44/PHT69,Mo44/PHT69,,,72.5,56.5,42.5,59.0,21.5,0.008799108008603684,2.36349502071685,-0.7346702733827394,1.4232713550624572,39.85404411650607,53.40438901488635,43.42849228604679,16.906769434283987,93.05599826510905
