plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,End.Angle_L1,End.Length_L1,Mid.Angle_L1,Mid.Length_L1,Stem.Angle_L1,A1_L1,N1_L1,A2_L1,N2_L1,a_L1,b_L1,c_L1,d_L1,model_leaf_length_L1,End.Angle_L2,End.Length_L2,Mid.Angle_L2,Mid.Length_L2,Stem.Angle_L2,A1_L2,N1_L2,A2_L2,N2_L2,a_L2,b_L2,c_L2,d_L2,model_leaf_length_L2
MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,62.5,61.0,50.0,65.0,23.5,0.0012597771428227939,2.7666132046304868,-0.12844502860787926,1.9989551454284225,49.65943445950625,53.99573874516489,41.55543939755404,28.255929590480285,86.39934566300205,51.0,32.0,25.0,49.0,15.0,0.2275134227683804,1.740283872192915,-3.7927950371460666,1.302023618565561,20.708294825294274,24.868670766623072,44.40908156479585,20.1382525135948,74.86705236080832
MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,49.0,56.0,34.5,66.0,19.0,0.11946870226412228,2.1207010215969033,-0.20444515326534,1.7411090891274843,37.43472080706368,42.29807724783865,54.32920919621654,36.49187288442893,86.40809731612568,79.0,41.5,44.5,48.5,17.0,0.00047223457591258485,3.2437960408819264,-1.573249554475339,1.5942327316692522,33.99178574979692,40.618328298041405,34.571618915105525,8.001996337807146,81.26971592076481
MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,63.0,66.5,46.5,63.0,22.5,0.002722266818625042,2.564596821755176,-2.8480154489072382,3.2147155873682034,45.80905876493214,59.28713736112234,43.218561095783365,30.03204651943128,90.36194312304474,45.0,42.5,29.0,59.5,22.5,0.5641242487346154,1.3548407837633172,-2.1769947528472597,1.3377008776572743,29.111461704987267,29.94735946301129,51.72710370821583,30.12010315845964,77.71296953086382
MIH119_1004,6,2,1,B37/H95,B14A/H95,,,72.5,50.0,52.0,58.0,22.5,0.000322094748229305,3.0961231265803124,-3.5905034630603527,1.4626686702659082,45.676781687323846,47.666694382377564,35.686612997391364,14.937778612481587,84.1877490336322,81.5,54.0,46.5,46.0,29.5,0.04889223787976082,1.8802485707693872,-0.5595929106023106,1.6697332741779356,33.40984401970694,53.44259529847442,31.5964956513028,7.061151095740513,81.37468709168405
MIH119_1007,9,2,1,B37/H95,B73/MO17,,,36.0,67.0,22.5,75.0,17.0,1.4299868082106122,1.43512893224491,-0.17009492081118854,2.266906501967815,28.472444893951234,39.29089813295065,69.3084773777191,54.25743267299064,95.93850508299332,57.0,47.0,35.0,57.5,14.5,0.0037802094463014937,2.7107945761054704,-1.848176169651078,1.3456370703727183,32.98064509018516,39.33648172267127,47.10124254661702,25.67024855679735,84.69190012514534
MIH119_1009,11,2,1,B37/H95,B73/MO17,,,55.0,45.0,23.0,62.0,15.0,0.3660251222803075,1.584161580627706,-0.680853487126994,1.5086231567896984,24.225329966334968,36.86184199300463,57.071300914051314,25.810939635797077,97.11182908693424,65.0,46.0,35.0,53.0,12.0,0.0005659179288108907,3.294217467145187,-0.1115200028969198,2.215598568802765,30.399551126605445,41.6901582036859,43.41505834731657,19.440440040072176,86.42051179190643
MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,77.0,68.0,51.5,73.0,26.5,0.002667287475040961,2.5519145483285004,-1.0795014252038495,1.4845051908725222,56.74804767476197,66.15458823578096,45.384374635245855,15.326702727528634,109.48739107488794,74.0,49.0,40.0,56.5,16.5,0.003993221055019686,3.163463323615876,-0.6336660423340733,1.7022903837417358,35.745327274721646,46.90141828413081,43.48095892476693,13.231283475780653,95.26561415573357
MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,68.0,57.0,35.0,61.5,17.5,0.02204592616602021,2.230053913855765,-0.2532978622720009,1.9731832080128475,35.319203509969256,52.63815994101057,50.06117159144824,20.74143581215481,100.44063130360242,75.0,56.0,40.0,52.0,11.0,1.0499252969489329e-05,4.316793377372281,-7.67822384479621e-05,4.1957407180734645,33.42495570370005,54.09184627218782,39.834311042186854,14.49386652574116,96.76640762242508
MIH119_1012,14,2,1,B37/H95,B14A/H95,,,71.0,62.0,41.0,67.5,26.5,0.2490625124017355,1.799532372923612,-0.5611111819791806,1.750210985153605,42.51210893027636,57.54509764830628,49.82646252800187,19.814366129762032,104.3368063449252,52.5,52.5,33.0,62.0,15.5,0.015824339122904964,2.3562160155463685,-0.6522997568444473,1.9321593746638168,33.63074582225356,41.30772115679592,52.07520308626174,32.1415591215881,88.21054758088623
MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,43.0,65.0,27.5,70.5,15.0,0.07019822020239289,1.9541140055268649,-0.07858337835387529,3.2991050843513228,32.464257422665185,43.642946719219154,62.50495676388253,47.51610840137514,93.516891418374,46.0,53.0,29.0,65.5,16.5,0.08980356185699721,1.9680554264159509,-0.7860076712323855,1.8468580254800813,31.755699359808983,38.35237507443678,55.9112852927545,35.179668069097616,90.01174058656021
